Age Group,Disease,Normal Temperature,Minimum Temperature,Maximum Temperature
56-60 years,Hyperthermia,37.2,40.1,42
56-60 years,Post-Surgery Recovery,37,36.5,37.5
56-60 years,Infection,36.6,38,40
56-60 years,Sepsis,37,38.5,41
56-60 years,Pneumonia,36.6,37.5,39.5
56-60 years,COVID-19,36.6,37.5,39
56-60 years,Heat Stroke,36.6,40,42
56-60 years,Cold Exposure,36.5,32,35
61-65 years,Normal,37.3,36.5,37.5
61-65 years,Fever,36.8,38,40
61-65 years,Hypothermia,37,32,35
61-65 years,Hyperthermia,37.4,40.1,42
61-65 years,Post-Surgery Recovery,36.9,36.5,37.5
61-65 years,Infection,37.4,38,40
61-65 years,Sepsis,37.3,38.5,41
61-65 years,Pneumonia,36.9,37.5,39.5
61-65 years,COVID-19,37.2,37.5,39
61-65 years,Heat Stroke,36.7,40,42
61-65 years,Cold Exposure,36.9,32,35
66-70 years,Normal,36.6,36.5,37.5
66-70 years,Fever,37,38,40
66-70 years,Hypothermia,37.4,32,35
66-70 years,Hyperthermia,37,40.1,42
66-70 years,Post-Surgery Recovery,36.8,36.5,37.5
66-70 years,Infection,37.4,38,40
66-70 years,Sepsis,36.6,38.5,41
66-70 years,Pneumonia,37.1,37.5,39.5
66-70 years,COVID-19,36.9,37.5,39
66-70 years,Heat Stroke,36.5,40,42
66-70 years,Cold Exposure,37.3,32,35
71-75 years,Normal,37.4,36.5,37.5
71-75 years,Fever,36.7,38,40
71-75 years,Hypothermia,36.9,32,35
71-75 years,Hyperthermia,37.2,40.1,42
71-75 years,Post-Surgery Recovery,36.6,36.5,37.5
71-75 years,Infection,37.4,38,40
71-75 years,Sepsis,37.2,38.5,41
71-75 years,Pneumonia,37.3,37.5,39.5
71-75 years,COVID-19,37.5,37.5,39
71-75 years,Heat Stroke,36.9,40,42
71-75 years,Cold Exposure,36.8,32,35
76-80 years,Normal,37.2,36.5,37.5
76-80 years,Fever,36.6,38,40
76-80 years,Hypothermia,36.6,32,35
76-80 years,Hyperthermia,37,40.1,42
76-80 years,Post-Surgery Recovery,37.3,36.5,37.5
76-80 years,Infection,37,38,40
76-80 years,Sepsis,37.3,38.5,41
76-80 years,Pneumonia,36.8,37.5,39.5
76-80 years,COVID-19,37.3,37.5,39
76-80 years,Heat Stroke,36.5,40,42
76-80 years,Cold Exposure,37.3,32,35
81-85 years,Normal,36.6,36.5,37.5
81-85 years,Fever,37.2,38,40
81-85 years,Hypothermia,37.2,32,35
81-85 years,Hyperthermia,36.9,40.1,42
81-85 years,Post-Surgery Recovery,37.1,36.5,37.5
81-85 years,Infection,37.3,38,40
81-85 years,Sepsis,36.5,38.5,41
81-85 years,Pneumonia,36.9,37.5,39.5
81-85 years,COVID-19,37.4,37.5,39
81-85 years,Heat Stroke,36.9,40,42
81-85 years,Cold Exposure,37,32,35
86-90 years,Normal,36.8,36.5,37.5
86-90 years,Fever,36.7,38,40
86-90 years,Hypothermia,37.3,32,35
86-90 years,Hyperthermia,36.7,40.1,42
86-90 years,Post-Surgery Recovery,37.3,36.5,37.5
86-90 years,Infection,36.8,38,40
86-90 years,Sepsis,36.6,38.5,41
86-90 years,Pneumonia,37.5,37.5,39.5
86-90 years,COVID-19,36.7,37.5,39
86-90 years,Heat Stroke,37.1,40,42
86-90 years,Cold Exposure,37.4,32,35
91-95 years,Normal,37.3,36.5,37.5
91-95 years,Fever,37.1,38,40
91-95 years,Hypothermia,36.7,32,35
91-95 years,Hyperthermia,37.3,40.1,42
91-95 years,Post-Surgery Recovery,37.3,36.5,37.5
91-95 years,Infection,37.5,38,40
91-95 years,Sepsis,37,38.5,41
91-95 years,Pneumonia,36.9,37.5,39.5
91-95 years,COVID-19,36.6,37.5,39
91-95 years,Heat Stroke,36.6,40,42
91-95 years,Cold Exposure,37,32,35
96-100 years,Normal,36.7,36.5,37.5
96-100 years,Fever,36.7,38,40
96-100 years,Hypothermia,36.9,32,35
96-100 years,Hyperthermia,36.6,40.1,42
96-100 years,Post-Surgery Recovery,36.7,36.5,37.5
96-100 years,Infection,36.8,38,40
96-100 years,Sepsis,37.1,38.5,41
96-100 years,Pneumonia,37.2,37.5,39.5
96-100 years,COVID-19,37.1,37.5,39
96-100 years,Heat Stroke,36.7,40,42
96-100 years,Cold Exposure,37.2,32,35
